date,day_name,special
2021-08-26,E day,0
2021-08-27,F day,0
2021-08-30,A day,0
2021-08-31,B day,0
2021-09-01,C day,0
2021-09-02,D day,0
2021-09-03,E day,0
2021-09-08,F day,0
2021-09-09,A day,0
2021-09-10,B day,0
2021-09-13,C day,0
2021-09-14,D day,0
2021-09-15,E day,0
2021-09-17,F day,0
2021-09-20,A day,0
2021-09-21,B day,0
2021-09-22,C day,0
2021-09-23,D day,0
2021-09-24,E day,0
2021-09-27,F day,0
2021-09-28,A day,0
2021-09-29,B day,0
2021-09-30,C day,0
2021-10-01,D day,0
2021-10-04,E day,0
2021-10-05,F day,0
2021-10-06,A day,0
2021-10-07,B day,0
2021-10-08,C day,0
2021-10-11,D day,0
2021-10-12,E day,0
2021-10-14,F day,0
2021-10-15,A day,0
2021-10-18,B day,0
2021-10-19,C day,0
2021-10-20,D day,0
2021-10-21,E day,0
2021-10-25,F day,0
2021-10-26,A day,0
2021-10-27,B day,0
2021-10-28,C day,0
2021-11-01,D day,0
2021-11-02,E day,0
2021-11-03,F day,0
2021-11-08,A day,0
2021-11-09,B day,0
2021-11-10,C day,0
2021-11-11,D day,0
2021-11-12,E day,0
2021-11-15,F day,0
2021-11-16,A day,0
2021-11-17,B day,0
2021-11-18,C day,0
2021-11-19,D day,0
2021-11-22,E day,0
2021-11-29,F day,0
2021-11-30,A day,0
2021-12-01,B day,0
2021-12-02,C day,0
2021-12-03,D day,0
2022-01-04,E day,0
2022-01-05,F day,0
2022-01-06,A day,0
2022-01-07,B day,0
2022-01-10,C day,0
2022-01-11,D day,0
2022-01-12,E day,0
2022-01-13,F day,0
2022-01-14,A day,0
2022-01-24,B day,0
2022-01-25,C day,0
2022-01-26,D day,0
2022-01-27,E day,0
2022-01-28,F day,0
2022-01-31,A day,0
2022-02-01,B day,0
2022-02-02,C day,0
2022-02-03,D day,0
2022-02-04,E day,0
2022-02-07,F day,0
2022-02-08,A day,0
2022-02-09,B day,0
2022-02-10,C day,0
2022-02-14,D day,0
2022-02-15,E day,0
2022-02-16,F day,0
2022-02-17,A day,0
2022-02-18,B day,0
2022-02-21,C day,0
2022-02-22,D day,0
2022-02-23,E day,0
2022-02-24,F day,0
2022-02-25,A day,0
2022-02-28,B day,0
2022-03-01,C day,0
2022-03-02,D day,0
2022-03-03,E day,0
2022-03-07,F day,0
2022-03-08,A day,0
2022-03-09,B day,0
2022-03-10,C day,0
2022-03-11,D day,0
2022-03-28,E day,0
2022-03-29,F day,0
2022-03-30,A day,0
2022-03-31,B day,0
2022-04-01,C day,0
2022-04-04,D day,0
2022-04-05,E day,0
2022-04-06,F day,0
2022-04-07,A day,0
2022-04-08,B day,0
2022-04-11,C day,0
2022-04-12,D day,0
2022-04-13,E day,0
2022-04-14,F day,0
2022-04-18,A day,0
2022-04-19,B day,0
2022-04-20,C day,0
2022-04-21,D day,0
2022-04-22,E day,0
2022-04-25,F day,0
2022-04-26,A day,0
2022-04-27,B day,0
2022-04-28,C day,0
2022-04-29,D day,0
2022-05-02,E day,0
2022-05-03,F day,0
2022-05-04,A day,0
2022-05-05,B day,0
2022-05-06,C day,0
2022-05-09,D day,0
2022-05-10,E day,0
2022-05-11,F day,0
2022-05-12,A day,0
2022-05-13,B day,0
2022-05-16,C day,0
2022-05-17,D day,0
2022-05-18,E day,0
2022-05-19,F day,0
2022-05-20,A day,0
